firm,Ticker,Income Before Tax,Net Income,Selling General Administrative,Gross Profit,Ebit,Operating Income,Interest Expense,Income Tax Expense,Total Revenue,Total Operating Expenses,Cost Of Revenue,Net Income From Continuing Ops,Profit Margin(%),EBIT Margin,SG&A to Revenue Ratio,Tax rate
Abiomed,ABMD,"? 7,34,94,000.00","? 5,68,56,000.00","? 10,03,74,000.00","? 19,51,67,000.00","? 6,21,94,000.00","? 6,21,94,000.00",,"? 1,66,38,000.00","? 24,12,45,000.00","? 17,90,51,000.00","? 4,60,78,000.00","? 5,68,56,000.00",29.13%,31.87%,51.43%,22.64%
Abiomed,ABMD,"? 8,07,35,000.00","? 6,18,68,000.00","? 8,61,98,000.00","? 19,05,53,000.00","? 7,22,50,000.00","? 7,22,50,000.00",,"? 1,88,67,000.00","? 23,16,63,000.00","? 15,94,13,000.00","? 4,11,10,000.00","? 6,18,68,000.00",32.47%,37.92%,45.24%,23.37%
Accenture,ACN,"? 1,91,78,05,000.00","? 1,41,62,48,000.00","? 2,50,75,27,000.00","? 4,46,62,16,000.00","? 1,95,86,89,000.00","? 1,95,86,89,000.00","? 1,29,77,000.00","? 48,03,82,000.00","? 13,41,92,84,000.00","? 11,46,05,95,000.00","? 8,95,30,68,000.00","? 1,43,74,23,000.00",31.71%,43.86%,56.14%,26.15%
Accenture,ACN,"? 2,09,40,01,000.00","? 1,54,94,26,000.00","? 2,28,57,28,000.00","? 4,40,43,84,000.00","? 2,11,86,56,000.00","? 2,11,86,56,000.00","? 2,87,39,000.00","? 52,44,29,000.00","? 13,26,37,95,000.00","? 11,14,51,39,000.00","? 8,85,94,11,000.00","? 1,56,95,72,000.00",35.18%,48.10%,51.90%,26.01%
Accenture,ACN,"? 1,76,24,43,000.00","? 1,44,08,59,000.00","? 1,94,17,17,000.00","? 3,59,52,32,000.00","? 1,65,35,15,000.00","? 1,65,35,15,000.00","? 89,22,000.00","? 30,09,50,000.00","? 12,08,81,25,000.00","? 10,43,46,10,000.00","? 8,49,28,93,000.00","? 1,46,14,93,000.00",40.08%,45.99%,54.01%,18.25%
Accenture,ACN,"? 1,98,68,67,000.00","? 1,50,02,76,000.00","? 2,00,76,27,000.00","? 3,89,82,96,000.00","? 1,89,06,69,000.00","? 1,89,06,69,000.00","? 88,54,000.00","? 46,48,10,000.00","? 11,76,21,85,000.00","? 9,87,15,16,000.00","? 7,86,38,89,000.00","? 1,52,20,57,000.00",38.49%,48.50%,51.50%,24.49%
Activision Blizzard,ATVI,"? 75,90,00,000.00","? 63,90,00,000.00","? 38,70,00,000.00","? 1,54,30,00,000.00","? 82,70,00,000.00","? 82,70,00,000.00","? 2,70,00,000.00","? 12,00,00,000.00","? 2,07,00,00,000.00","? 1,24,30,00,000.00","? 52,70,00,000.00","? 63,90,00,000.00",41.41%,53.60%,25.08%,15.81%
Activision Blizzard,ATVI,"? 1,00,20,00,000.00","? 87,60,00,000.00","? 43,40,00,000.00","? 1,74,10,00,000.00","? 97,20,00,000.00","? 97,20,00,000.00","? 2,70,00,000.00","? 12,60,00,000.00","? 2,29,60,00,000.00","? 1,32,40,00,000.00","? 55,50,00,000.00","? 87,60,00,000.00",50.32%,55.83%,24.93%,12.57%
Activision Blizzard,ATVI,"? 76,50,00,000.00","? 61,90,00,000.00","? 51,90,00,000.00","? 1,69,70,00,000.00","? 82,50,00,000.00","? 82,50,00,000.00","? 2,80,00,000.00","? 14,60,00,000.00","? 2,27,50,00,000.00","? 1,45,00,00,000.00","? 57,80,00,000.00","? 61,90,00,000.00",36.48%,48.62%,30.58%,19.08%
Activision Blizzard,ATVI,"? 56,30,00,000.00","? 50,90,00,000.00","? 59,70,00,000.00","? 1,59,50,00,000.00","? 65,00,00,000.00","? 65,00,00,000.00","? 2,70,00,000.00","? 5,40,00,000.00","? 2,41,20,00,000.00","? 1,76,20,00,000.00","? 81,70,00,000.00","? 50,90,00,000.00",31.91%,40.75%,37.43%,9.59%
ADM,ADM,"? 65,30,00,000.00","? 52,60,00,000.00","? 71,60,00,000.00","? 1,32,60,00,000.00","? 60,70,00,000.00","? 60,70,00,000.00","? 6,10,00,000.00","? 12,00,00,000.00","? 20,34,00,00,000.00","? 19,73,30,00,000.00","? 19,01,40,00,000.00","? 53,30,00,000.00",39.67%,45.78%,54.00%,19.45%
ADM,ADM,"? 82,50,00,000.00","? 71,20,00,000.00","? 81,50,00,000.00","? 1,46,30,00,000.00","? 64,20,00,000.00","? 64,20,00,000.00","? 4,00,00,000.00","? 11,30,00,000.00","? 22,92,60,00,000.00","? 22,28,40,00,000.00","? 21,46,30,00,000.00","? 71,20,00,000.00",48.67%,43.88%,55.71%,13.70%
ADM,ADM,"? 82,40,00,000.00","? 68,90,00,000.00","? 69,70,00,000.00","? 1,54,80,00,000.00","? 84,30,00,000.00","? 84,30,00,000.00","? 8,70,00,000.00","? 13,10,00,000.00","? 18,89,30,00,000.00","? 18,05,00,00,000.00","? 17,34,50,00,000.00","? 69,30,00,000.00",44.51%,54.46%,45.03%,16.38%
ADM,ADM,"? 75,60,00,000.00","? 68,70,00,000.00","? 72,00,00,000.00","? 1,35,20,00,000.00","? 61,50,00,000.00","? 61,50,00,000.00","? 6,90,00,000.00","? 6,30,00,000.00","? 17,97,80,00,000.00","? 17,36,30,00,000.00","? 16,62,60,00,000.00","? 69,30,00,000.00",50.81%,45.49%,53.25%,9.13%
Adobe,ADBE,"? 1,41,80,00,000.00","? 1,21,20,00,000.00","? 1,33,30,00,000.00","? 3,46,80,00,000.00","? 1,44,10,00,000.00","? 1,44,10,00,000.00","? 2,70,00,000.00","? 20,60,00,000.00","? 3,93,50,00,000.00","? 2,49,40,00,000.00","? 46,70,00,000.00","? 1,21,20,00,000.00",34.95%,41.55%,38.44%,14.53%
Adobe,ADBE,"? 1,38,60,00,000.00","? 1,11,60,00,000.00","? 1,32,90,00,000.00","? 3,39,10,00,000.00","? 1,40,60,00,000.00","? 1,40,60,00,000.00","? 2,80,00,000.00","? 27,00,00,000.00","? 3,83,50,00,000.00","? 2,42,90,00,000.00","? 44,40,00,000.00","? 1,11,60,00,000.00",32.91%,41.46%,39.19%,19.48%
Adobe,ADBE,"? 1,43,30,00,000.00","? 1,26,10,00,000.00","? 1,33,90,00,000.00","? 3,45,80,00,000.00","? 1,45,40,00,000.00","? 1,45,40,00,000.00","? 3,00,00,000.00","? 17,20,00,000.00","? 3,90,50,00,000.00","? 2,45,10,00,000.00","? 44,70,00,000.00","? 1,26,10,00,000.00",36.47%,42.05%,38.72%,12.00%
Adobe,ADBE,"? 1,19,70,00,000.00","? 2,25,00,00,000.00","? 1,18,40,00,000.00","? 2,99,60,00,000.00","? 1,21,50,00,000.00","? 1,21,50,00,000.00","? 2,70,00,000.00","? 1,05,30,00,000.00","? 3,42,40,00,000.00","? 2,20,90,00,000.00","? 42,80,00,000.00","? 2,25,00,00,000.00",75.10%,40.55%,39.52%,-87.97%
Advance Auto Parts,AAP,"? 23,77,65,000.00","? 17,86,96,000.00","? 93,27,93,000.00","? 1,18,94,16,000.00","? 25,66,23,000.00","? 25,66,23,000.00","? 83,06,000.00","? 5,90,69,000.00","? 2,64,94,15,000.00","? 2,39,27,92,000.00","? 1,45,99,99,000.00","? 17,86,96,000.00",15.02%,21.58%,78.42%,24.84%
Advance Auto Parts,AAP,"? 23,77,65,000.00","? 17,86,96,000.00","? 93,27,93,000.00","? 1,18,94,16,000.00","? 25,66,23,000.00","? 25,66,23,000.00","? 83,06,000.00",? 0.00,"? 2,64,94,15,000.00",? 0.00,? 0.00,"? 17,86,96,000.00",15.02%,21.58%,78.42%,24.84%
Advance Auto Parts,AAP,"? 24,57,74,000.00","? 18,59,30,000.00","? 1,20,01,38,000.00","? 1,48,72,29,000.00","? 28,70,91,000.00","? 28,70,91,000.00","? 1,11,91,000.00","? 5,98,44,000.00","? 3,33,03,70,000.00","? 3,04,32,79,000.00","? 1,84,31,41,000.00","? 18,59,30,000.00",12.50%,19.30%,80.70%,24.35%
Advance Auto Parts,AAP,"? 24,57,74,000.00","? 18,23,13,000.00","? 1,20,01,38,000.00","? 1,33,83,22,500.00","? 27,18,56,500.00","? 28,70,91,000.00","? 97,48,500.00",? 0.00,"? 2,98,98,92,500.00",? 0.00,? 0.00,"? 18,59,30,000.00",13.62%,20.31%,89.67%,25.82%
Advanced Micro Devices,AMD,"? 1,00,50,00,000.00","? 92,30,00,000.00","? 36,80,00,000.00","? 2,08,60,00,000.00","? 95,60,00,000.00","? 95,60,00,000.00","? 70,00,000.00","? 8,20,00,000.00","? 4,31,30,00,000.00","? 3,35,70,00,000.00","? 2,22,70,00,000.00","? 92,30,00,000.00",44.25%,45.83%,17.64%,8.16%
Advanced Micro Devices,AMD,"? 82,30,00,000.00","? 71,00,00,000.00","? 33,10,00,000.00","? 1,83,00,00,000.00","? 84,10,00,000.00","? 84,10,00,000.00","? 1,00,00,000.00","? 11,30,00,000.00","? 3,85,00,00,000.00","? 3,00,90,00,000.00","? 2,02,00,00,000.00","? 71,00,00,000.00",38.80%,45.96%,18.09%,13.73%
Advanced Micro Devices,AMD,"? 64,40,00,000.00","? 55,50,00,000.00","? 30,40,00,000.00","? 1,58,70,00,000.00","? 67,70,00,000.00","? 67,70,00,000.00","? 90,00,000.00","? 8,90,00,000.00","? 3,44,50,00,000.00","? 2,76,80,00,000.00","? 1,85,80,00,000.00","? 55,50,00,000.00",34.97%,42.66%,19.16%,13.82%
Advanced Micro Devices,AMD,"? 54,90,00,000.00","? 1,78,10,00,000.00","? 30,80,00,000.00","? 1,45,10,00,000.00","? 57,00,00,000.00","? 57,00,00,000.00","? 90,00,000.00","? 1,23,20,00,000.00","? 3,24,40,00,000.00","? 2,67,40,00,000.00","? 1,79,30,00,000.00","? 1,78,10,00,000.00",122.74%,39.28%,21.23%,-224.41%
AES Corp,AES,"? 61,10,00,000.00","? 34,30,00,000.00","? 3,90,00,000.00","? 76,00,00,000.00","? 72,10,00,000.00","? 72,10,00,000.00","? 24,20,00,000.00","? 12,60,00,000.00","? 3,03,60,00,000.00","? 2,31,50,00,000.00","? 2,27,60,00,000.00","? 48,50,00,000.00",45.13%,94.87%,5.13%,43.86%
AES Corp,AES,"? 14,00,00,000.00","? 2,80,00,000.00","? 4,50,00,000.00","? 72,80,00,000.00","? 68,30,00,000.00","? 68,30,00,000.00","? 23,70,00,000.00","? 5,90,00,000.00","? 2,70,00,00,000.00","? 2,01,70,00,000.00","? 1,97,20,00,000.00","? 8,10,00,000.00",3.85%,93.82%,6.18%,120.00%
AES Corp,AES,"? 2,10,00,000.00","? 14,80,00,000.00","? 4,60,00,000.00","? 66,40,00,000.00","? 61,80,00,000.00","? 61,80,00,000.00","? 19,00,00,000.00","? 80,00,000.00","? 2,63,50,00,000.00","? 2,01,70,00,000.00","? 1,97,10,00,000.00","? 2,90,00,000.00",-22.29%,93.07%,6.93%,-604.76%
AES Corp,AES,"? 56,20,00,000.00","? 31,80,00,000.00","? 4,70,00,000.00","? 72,40,00,000.00","? 67,70,00,000.00","? 67,70,00,000.00","? 29,70,00,000.00","? 16,10,00,000.00","? 2,56,00,00,000.00","? 1,88,30,00,000.00","? 1,83,60,00,000.00","? 40,10,00,000.00",43.92%,93.51%,6.49%,43.42%
Aflac,AFL,"? 1,11,30,00,000.00","? 88,80,00,000.00","? 86,90,00,000.00","? 2,03,90,00,000.00","? 1,17,00,00,000.00","? 1,17,00,00,000.00","? 5,70,00,000.00","? 22,50,00,000.00","? 5,23,70,00,000.00","? 4,06,70,00,000.00","? 3,19,80,00,000.00","? 88,80,00,000.00",43.55%,57.38%,42.62%,20.22%
Aflac,AFL,"? 1,37,30,00,000.00","? 1,10,50,00,000.00","? 88,10,00,000.00","? 2,31,60,00,000.00","? 1,43,50,00,000.00","? 1,43,50,00,000.00","? 6,20,00,000.00","? 26,80,00,000.00","? 5,56,40,00,000.00","? 4,12,90,00,000.00","? 3,24,80,00,000.00","? 1,10,50,00,000.00",47.71%,61.96%,38.04%,19.52%
Aflac,AFL,"? 1,60,30,00,000.00","? 1,29,30,00,000.00","? 83,20,00,000.00","? 2,49,70,00,000.00","? 1,66,50,00,000.00","? 1,66,50,00,000.00","? 6,20,00,000.00","? 31,00,00,000.00","? 5,86,90,00,000.00","? 4,20,40,00,000.00","? 3,37,20,00,000.00","? 1,29,30,00,000.00",51.78%,66.68%,33.32%,19.34%
Aflac,AFL,"? 1,21,70,00,000.00","? 95,20,00,000.00","? 1,03,80,00,000.00","? 2,31,60,00,000.00","? 1,27,80,00,000.00","? 1,27,80,00,000.00","? 6,10,00,000.00","? 26,50,00,000.00","? 5,91,30,00,000.00","? 4,63,50,00,000.00","? 3,59,70,00,000.00","? 95,20,00,000.00",41.11%,55.18%,44.82%,21.77%
Agilent Technologies,A,"? 32,70,00,000.00","? 26,40,00,000.00","? 39,00,00,000.00","? 85,20,00,000.00","? 34,90,00,000.00","? 34,90,00,000.00","? 2,10,00,000.00","? 6,30,00,000.00","? 1,58,60,00,000.00","? 1,23,70,00,000.00","? 73,40,00,000.00","? 26,40,00,000.00",30.99%,40.96%,45.77%,19.27%
Agilent Technologies,A,"? 27,30,00,000.00","? 21,60,00,000.00","? 42,00,00,000.00","? 81,70,00,000.00","? 28,80,00,000.00","? 28,80,00,000.00","? 2,00,00,000.00","? 5,70,00,000.00","? 1,52,50,00,000.00","? 1,23,70,00,000.00","? 70,80,00,000.00","? 21,60,00,000.00",26.44%,35.25%,51.41%,20.88%
Agilent Technologies,A,"? 31,20,00,000.00","? 28,80,00,000.00","? 39,80,00,000.00","? 83,80,00,000.00","? 33,70,00,000.00","? 33,70,00,000.00","? 1,90,00,000.00","? 2,40,00,000.00","? 1,54,80,00,000.00","? 1,21,10,00,000.00","? 71,00,00,000.00","? 28,80,00,000.00",34.37%,40.21%,47.49%,7.69%
Agilent Technologies,A,"? 28,30,00,000.00","? 22,20,00,000.00","? 34,20,00,000.00","? 78,80,00,000.00","? 34,40,00,000.00","? 34,40,00,000.00","? 1,90,00,000.00","? 6,10,00,000.00","? 1,48,30,00,000.00","? 1,13,90,00,000.00","? 69,50,00,000.00","? 22,20,00,000.00",28.17%,43.65%,43.40%,21.55%
Air Products & Chemicals,APD,"? 69,23,00,000.00","? 61,04,00,000.00","? 20,21,00,000.00","? 83,48,00,000.00","? 61,67,00,000.00","? 61,67,00,000.00","? 3,34,00,000.00","? 12,53,00,000.00","? 2,84,11,00,000.00","? 2,22,44,00,000.00","? 2,00,63,00,000.00","? 56,70,00,000.00",73.12%,73.87%,24.21%,11.83%
Air Products & Chemicals,APD,"? 62,58,00,000.00","? 53,36,00,000.00","? 19,26,00,000.00","? 80,28,00,000.00","? 59,84,00,000.00","? 59,84,00,000.00","? 3,56,00,000.00","? 10,17,00,000.00","? 2,60,47,00,000.00","? 2,00,63,00,000.00","? 1,80,19,00,000.00","? 52,41,00,000.00",66.47%,74.54%,23.99%,14.73%
Air Products & Chemicals,APD,"? 59,90,00,000.00","? 47,31,00,000.00","? 18,91,00,000.00","? 75,65,00,000.00","? 55,58,00,000.00","? 55,58,00,000.00","? 3,61,00,000.00","? 12,19,00,000.00","? 2,50,20,00,000.00","? 1,94,62,00,000.00","? 1,74,55,00,000.00","? 47,71,00,000.00",62.54%,73.47%,25.00%,21.02%
Air Products & Chemicals,APD,"? 59,03,00,000.00","? 48,20,00,000.00","? 18,21,00,000.00","? 74,28,00,000.00","? 56,25,00,000.00","? 56,25,00,000.00","? 3,67,00,000.00","? 11,39,00,000.00","? 2,37,52,00,000.00","? 1,81,27,00,000.00","? 1,63,24,00,000.00","? 47,64,00,000.00",64.89%,75.73%,24.52%,18.35%
Akamai Technologies,AKAM,"? 19,25,64,000.00","? 17,89,16,000.00","? 24,14,63,000.00","? 54,34,67,000.00","? 20,71,46,000.00","? 20,71,46,000.00","? 1,81,44,000.00","? 1,36,48,000.00","? 86,03,33,000.00","? 65,31,87,000.00","? 31,68,66,000.00","? 17,89,16,000.00",32.92%,38.12%,44.43%,7.09%
Akamai Technologies,AKAM,"? 17,45,06,000.00","? 15,64,97,000.00","? 24,60,49,000.00","? 53,28,24,000.00","? 19,74,60,000.00","? 19,74,60,000.00","? 1,80,37,000.00","? 1,80,09,000.00","? 85,28,24,000.00","? 65,53,64,000.00","? 32,00,00,000.00","? 15,64,97,000.00",29.37%,37.06%,46.18%,10.32%
Akamai Technologies,AKAM,"? 16,75,93,000.00","? 15,56,95,000.00","? 25,30,05,000.00","? 53,60,21,000.00","? 18,95,44,000.00","? 18,95,44,000.00","? 1,78,34,000.00","? 1,18,98,000.00","? 84,27,08,000.00","? 65,31,64,000.00","? 30,66,87,000.00","? 15,56,95,000.00",29.05%,35.36%,47.20%,7.10%
Akamai Technologies,AKAM,"? 11,75,28,000.00","? 11,33,70,000.00","? 29,87,39,000.00","? 54,24,40,000.00","? 16,55,79,000.00","? 16,55,79,000.00","? 1,73,42,000.00","? 41,58,000.00","? 84,62,87,000.00","? 68,07,08,000.00","? 30,38,47,000.00","? 11,33,70,000.00",20.90%,30.52%,55.07%,3.54%
Alaska Air Group,ALB,"? 48,91,03,000.00","? 39,27,81,000.00","? 9,56,99,000.00","? 24,92,73,000.00","? 14,02,85,000.00","? 14,02,85,000.00","? 51,36,000.00","? 11,46,70,000.00","? 83,05,66,000.00","? 69,02,81,000.00","? 58,12,93,000.00","? 37,44,33,000.00",-157.57%,56.28%,38.39%,19.69%
Alaska Air Group,ALB,"? 55,31,93,000.00","? 42,46,00,000.00","? 11,33,93,000.00","? 24,84,17,000.00","? 12,10,48,000.00","? 12,10,48,000.00","? 59,52,000.00","? 10,69,85,000.00","? 77,38,96,000.00","? 65,28,48,000.00","? 52,54,79,000.00","? 44,62,08,000.00",170.92%,48.73%,45.65%,23.25%
Alaska Air Group,ALB,"? 13,98,05,000.00","? 9,56,77,000.00","? 8,55,89,000.00","? 26,36,87,000.00","? 16,34,62,000.00","? 16,34,62,000.00","? 1,60,84,000.00","? 2,21,07,000.00","? 82,92,91,000.00","? 66,58,29,000.00","? 56,56,04,000.00","? 11,76,98,000.00",36.28%,61.99%,32.46%,31.56%
Alaska Air Group,ALB,"? 9,20,76,000.00","? 8,46,35,000.00","? 11,50,08,000.00","? 26,67,20,000.00","? 13,63,37,000.00","? 13,63,37,000.00","? 1,91,52,000.00","? 1,01,01,000.00","? 87,91,47,000.00","? 74,28,10,000.00","? 61,24,27,000.00","? 10,21,77,000.00",31.73%,51.12%,43.12%,8.08%
Albemarle Corporation,ALK,"? 24,50,00,000.00","? 19,40,00,000.00","? 4,90,00,000.00","? 56,20,00,000.00","? 25,70,00,000.00","? 25,70,00,000.00","? 2,70,00,000.00","? 5,10,00,000.00","? 1,95,30,00,000.00","? 1,69,60,00,000.00","? 1,39,10,00,000.00","? 19,40,00,000.00",34.52%,45.73%,8.72%,20.82%
Albemarle Corporation,ALK,"? 52,80,00,000.00","? 39,70,00,000.00","? 4,10,00,000.00","? 24,60,00,000.00","? 3,60,00,000.00","? 3,60,00,000.00","? 3,60,00,000.00","? 13,10,00,000.00","? 1,52,70,00,000.00","? 1,56,30,00,000.00","? 1,28,10,00,000.00","? 39,70,00,000.00",161.38%,-14.63%,16.67%,24.81%
